business_id,address,city,state,postal_code,name,review_count,stars,type,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,WheelchairAccessible,Caters,GoodForKids,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTakeOut,RestaurantsTableService,BusinessParkingTypes,RestaurantsPriceRange,Ambience_Offered,Alcohol,WiFi,Music_Offered,Categories_Offered,Categories_NightLife,Categories_Bars,Categories_AmericanTraditional,Categories_FastFood,Categories_Pizza,Categories_Sandwiches,Categories_Coffee&Tea,Categories_Italian
42romV8altAeuZuP2OC1gw,"1500 N Green Valley Pkwy, Ste 230",Henderson,NV,89074,Ohana Hawaiian BBQ,38,4.0,business,0,0,1,0,1,1,1,0,0,1,0,1,0,1, 1,1,0,0,0,3,0,0,0,0,0,0,0,0
saWZO6hB4B8P-mIzS1--Xw,4811 S Rainbow Blvd,Las Vegas,NV,89103,Kabob Palace,15,2.5,business,0,0,1,1,0,1,0,1,0,1,1,1,1,1, 2,0,2,0,0,6,0,0,0,0,0,0,0,0
hMh9XOwNQcu31NAOCqhAEw,"4972 S Maryland Pkwy, Ste 22",Las Vegas,NV,89119,Taste of India,33,3.5,business,1,0,1,0,1,1,1,0,1,1,1,1,1,1, 2,1,0,2,0,3,0,0,0,0,0,0,0,0
pmJqSsCfgbo3TxPWpQNLIw,2053 Pama Ln,Las Vegas,NV,89119,Artisanal Foods Cafe,35,4.5,business,0,0,1,0,0,0,0,0,0,0,1,1,1,0, 2,0,0,0,0,3,0,0,0,0,0,0,0,0
V94gk_Vx0Ot623UGHG6PrA,7300 Aliante Pkwy,North Las Vegas,NV,89084,The Salted Lime,105,3.0,business,1,0,1,0,0,1,1,0,0,1,1,1,1,1, 2,1,2,0,0,3,0,0,0,0,0,1,0,0
kUUBBLBHCasOl2a5nW9nAw,4341 N Rancho Dr,Las Vegas,NV,89130,Bailey's Sports Bar & Eatery,9,3.5,business,0,0,1,0,0,0,1,1,0,1,0,0,0,0, 1,0,2,0,3,5,0,0,0,0,0,0,1,1
A2pZTpFXWC38z506XIhnBQ,4949 N Rancho Dr,Las Vegas,NV,89130,Wingstop,41,3.5,business,0,0,1,0,1,1,1,0,0,1,0,1,0,1, 1,1,0,0,0,3,0,0,0,0,1,0,0,0
fOzbCeNnB1_mIb-RR4zw1g,"Inside Wildefire Casino, 2000 S Boulder Hwy",Henderson,NV,89002,Wild Grill,15,3.5,business,0,0,1,0,0,0,1,0,0,1,0,1,1,0, 1,0,2,0,0,2,0,0,0,0,0,1,0,0
InDH4ZQ_byiQ5PyaqgHI8Q,2230 W Bonanza Rd,Las Vegas,NV,89106,Big Mama's Soul Food Rib Shack,6,2.0,business,0,0,1,1,0,1,0,0,0,1,0,1,0,0, 2,0,0,0,0,3,0,0,0,0,0,0,0,0
WleVOQ9YhBYl4SWrlsLDhA,7002 W Charleston Blvd,Las Vegas,NV,89145,Red Apple Grill,6,3.5,business,0,0,1,1,0,1,0,0,0,0,0,1,1,0, 1,0,1,0,0,4,0,0,0,0,0,0,0,0
